month,ADM3_EN,LST_day_mean,no2_mean,no2_lag1,no2_neighbor_lag1,NTL_mean,pop_sum_m,road_len,poi_count,lu_industrial_area,lu_commercial_area,lu_residential_area,lu_retail_area,lu_farmland_area,lu_farmyard_area,road_primary_len,road_motorway_len,road_trunk_len,road_secondary_len,road_tertiary_len,road_residential_len
2023-01,Addis Ketema,27.608789997998237,0.0014865063930139526,0.0014988950759431954,0.0014951632229980678,389.4032861853159,280921.71484375,413244.76971781626,6.0,215850.9702058304,265450.8900814801,10882491.456047973,82401.44393116132,0.0,0.0,21095.167212089207,0.0,6407.418335811565,36722.49625661942,9150.718490781326,306043.3825076155
2023-01,Akaki Kality,30.089888211375158,0.007017671596224614,0.007017295360569808,0.007027149207477152,1329.9428264305502,577954.2465810776,1458805.890458251,2.0,5526607.582092061,365328.0545006475,27209144.290578924,40003.522123153525,1773640.419496487,258835.6863758007,54297.55343784546,1750.3353404954569,55487.577655745874,26543.91274598913,83102.65505169929,830728.46839836
2023-01,Arada,28.778815667180822,0.0005727991826165073,0.000579314464826167,0.0005763832054259682,252.6867958294448,129547.9833984375,154371.31172405052,6.0,0.0,76650.35488586953,4659425.09783472,1932.0280105111356,0.0,0.0,25369.9562524495,0.0,0.0,19406.190678522504,8199.53802469422,79045.1466208676
2023-01,Bole,29.323099422699617,0.004171409117747489,0.004177153339466417,0.00417987510612166,2080.7980345340184,591126.6415710449,1126020.3433838214,24.0,896769.3893058358,580416.1541855597,18416451.08505943,10436.188026384647,4883618.38494601,648225.8212969821,101191.315213993,0.0,30499.410243706596,39549.62310854257,27027.424214939256,705045.2746982997
2023-01,Gulele,23.268502890008175,0.0018160057511263257,0.0018394823442403948,0.0018595149253652743,331.9538187922703,191815.6131362915,343757.35125622124,2.0,247.700025933823,22002.799475087588,7845656.90704623,16931.554441194912,0.0,7270.071742202093,13710.881867102697,0.0,13293.462951652262,20308.566843555647,8066.165702901882,192535.3826680482
2023-01,Kirkos,29.12987446007049,0.0012444962934292589,0.001254321505410394,0.0012520426243327891,1008.4548939735658,246195.3955078125,407445.71887208143,27.0,406792.8336762707,390906.811451437,8308279.97318338,0.0,65818.11835366307,0.0,82489.43161484491,0.0,0.0,21759.51109966339,28967.210286565973,173520.87515752186
2023-01,Kolfe Keraniyo,27.889462661618136,0.003942090832363936,0.003938120131914218,0.003934904315785343,1274.4865278368782,588912.7861328125,999778.8262524343,10.0,291846.42793674866,0.0,33497229.618138816,0.0,72822.25008760257,3254.004578879517,59088.20826516709,0.0,28389.786506119886,1999.0475906724823,21921.792401634888,802951.0311531086
2023-01,Lemi Kura,28.20714775838168,0.004267424974567323,0.004268386359136064,0.004281084594039584,1139.964539721161,477004.73025512695,1077463.223131778,4.0,1712173.9962421947,0.0,33145748.589403372,0.0,1762514.6735988294,50492.57284487099,59290.56198237499,0.0,20492.203628489955,28991.1462658884,30113.67819436336,823739.0228125532
2023-01,Lideta,29.17720929624048,0.0008076265771846505,0.0008149908100858064,0.0008158142318475803,538.2055605748221,149520.572265625,238256.11138927197,21.0,127401.41171582477,490441.68090575916,5697785.465824234,641539.5422013433,3.270979477047901,0.0,45984.5164421835,0.0,0.0,13274.699443375684,8543.116371212236,143381.56823950287
2023-01,Nifas Silk Lafto,29.14321162047081,0.003448221723762315,0.00343554722444581,0.0034413477589136997,1206.8299998925152,546690.8269042969,1020947.5290218766,8.0,814229.8479719026,0.0,29793604.541209195,10718.522802027,630510.8660664688,0.0,63965.89918432797,0.0,29480.131225656678,6031.665235660577,48983.06371372432,730069.9503519727
2023-01,Yeka,25.43066718651901,0.003145877442766778,0.0031631884843120275,0.0031675361978997824,655.618775208731,411173.4640197754,629507.8244182687,8.0,6820.175402169005,22872.035526742056,19262047.908034045,0.0,39209.08000849748,120688.57037222979,32713.710225186594,0.0,0.0,51329.66061620474,19115.57412660214,406901.78687040746
2023-02,Addis Ketema,31.595349829623636,0.001520918971377417,0.0015139737442674795,0.0015100968915838751,376.9904092578661,280921.71484375,413244.76971781626,6.0,215850.9702058304,265450.8900814801,10882491.456047973,82401.44393116132,0.0,0.0,21095.167212089207,0.0,6407.418335811565,36722.49625661942,9150.718490781326,306043.3825076155
