month,ADM3_EN,LST_day_mean,temp_mean,no2_mean,no2_lag1,no2_neighbor_lag1,NTL_mean,TCI,pop_sum_m,road_len,poi_count,lu_industrial_area,lu_commercial_area,lu_residential_area,lu_retail_area,lu_farmland_area,lu_farmyard_area,road_primary_len,road_motorway_len,road_trunk_len,road_secondary_len,road_tertiary_len,road_residential_len,grassland_a,cropland_a,built_up_a,snow_a,water_bod_a,wetland_a,sparse_veg_a,mangroves_a,moss_a,unclassified_a,non_built_area
2023-01,Abu Ghraib,31.603639167018603,13.891629586405188,0.12831828930906808,0.13067378192139759,0.1307403652027436,10996.997103714431,3090105.221577504,511190.9400630258,2712699.213788659,2.0,2537541.1499956404,129607.86114332972,24369147.33893907,0.0,32979290.45003036,8734.319149440966,72805.03451800304,134296.27876735094,0.0,42553.4290810655,267884.15421013493,1157555.2701199725,9583680.64516129,336927332.2580645,115434829.03225806,0.0,31890706.451612905,211645.16129032258,232619606.4516129,0.0,0.0,0.0,440980190.32258064
2023-01,Al-Fahama,50.629270072992725,13.170176854072565,0.04807834382245198,0.0489697951929324,0.04902765926222455,9153.362860116184,23094750.982715122,1019493.0495032072,1771263.6729372211,2.0,2167029.6860050433,118161.36714623315,39258135.535683826,0.0,1072887.102717862,0.0,9374.771374451,23504.337299746076,31207.293767440548,4882.810603610558,165507.88646717503,1322054.2464479269,1618603.2258064516,57635683.87096774,22282406.451612905,0.0,5555419.354838709,20874.1935483871,39887541.93548387,0.0,0.0,0.0,77452277.41935484
2023-01,Al-Jisr,39.75685542547469,13.828318900867314,0.05538154431718119,0.056684326968733406,0.05663260692021653,5231.66997870892,5913884.746244082,253789.57445979118,678416.5284410594,0.0,1794012.322090416,2846963.0070015644,9367158.148469036,0.0,18935815.824497905,0.0,29253.292782954315,0.0,31548.343818136913,14049.948014256903,52184.422521209235,383536.9004022084,1969612.9032258065,67794212.90322581,22561267.741935484,0.0,6747561.29032258,29806.451612903224,49858538.70967742,0.0,0.0,0.0,92473725.80645162
2023-01,Al-Karrada Al-Sharqia,25.661060324974073,13.752808401012787,0.040241309588014695,0.04104051588447109,0.04100800597008006,7950.414600560523,52177460.29163322,680465.4120788574,1657440.0318232388,10.0,4745724.446622042,94917.11366155212,26925802.816666882,0.0,6301525.783863613,0.0,86620.55179802734,32598.567966246515,3730.4275985512795,40736.417691459355,118433.36244344774,848213.4538740629,1394235.4838709678,37889361.29032258,15824319.35483871,0.0,3981212.9032258065,53596.77419354839,30418683.870967742,0.0,0.0,0.0,56443632.258064516
2023-01,Al-Latifya,22.240557904501102,14.179958306128016,0.11234052134643428,0.11454620178907023,0.11457549099847784,4114.14583885921,2600196.7097273692,159862.81026115268,882748.5264874352,0.0,1386306.4250301514,462426.89094855293,2360183.3861721265,0.0,215519272.23651242,0.0,7899.5508333649905,58368.58811166041,39685.81001155781,40019.46139710739,59683.64922568426,284648.2316475055,8205958.064516129,266775435.48387098,96100819.35483871,0.0,25703838.70967742,196951.61290322582,195601774.19354838,0.0,0.0,0.0,363500477.41935486
2023-01,Al-Mamoon,33.66933655656496,13.674687147456458,0.0460351734882023,0.04706874146549931,0.04700776649793511,5704.8896260472675,18730293.20860719,324112.64024195075,1185053.015478286,1.0,8769701.115181899,0.0,19642234.808717363,0.0,34614460.627042085,0.0,680.9151349607389,33251.72783013728,7586.829041479024,22652.577476209844,68630.38237224169,689251.5862863507,1703874.1935483871,61707741.93548387,17932070.967741936,0.0,5863474.193548387,28248.387096774193,40239432.258064516,0.0,0.0,0.0,76574112.90322581
2023-01,Al-Mansour,26.87632295087046,13.978384576676664,0.05428778189951798,0.055423899449107375,0.05537015649543795,16089.199732352527,81810246.13632376,1086294.2109985352,3493926.4950355995,24.0,2482145.991256376,648501.7193567418,65886799.652922064,420885.1219456722,3985924.51500442,647183.5637577858,142553.14334609068,70427.55183676274,18492.56611803125,116670.16424875188,220111.86625574302,2315260.3123901803,2219177.419354839,75346664.51612903,26899503.225806452,0.0,8126725.806451613,53435.48387096774,54186077.41935484,0.0,0.0,0.0,102789329.03225806
2023-01,Al-Rashdia,36.39332940340884,12.718828002417851,0.03915823550147321,0.03990136127897203,0.0399469630121252,7615.626876110053,2009250.4621203234,246273.38759011775,748928.7330197312,0.0,1053256.5229898784,125291.37264391742,25489424.06538599,0.0,0.0,0.0,6806.950502096051,0.0,26697.362927162652,0.0,137556.2284637159,481483.81786753767,1938412.9032258065,65994270.96774194,22527145.16129032,0.0,6756616.129032258,64690.32258064516,45413735.48387097,0.0,0.0,0.0,85201383.87096775
2023-01,Al-Rasheed,44.98972098858948,13.973750050506688,0.09593492348122992,0.09807887943765704,0.09812004629379263,5595.686302551338,10571168.09255679,247356.3871642202,1709487.4882599534,0.0,16776245.674221065,266454.5152654849,7955664.464772243,0.0,65718087.82190914,0.0,12052.938073820531,66085.78452219206,41707.258199125536,14753.680365639077,176029.95871407512,834155.0548772219,4288938.70967742,162415583.87096775,56151038.70967742,0.0,15802193.548387097,99641.93548387097,110703551.61290322,0.0,0.0,0.0,211246200.0
2023-01,Al-Taji,42.42569304931871,13.106398086513515,0.09188541596172324,0.09371848231947909,0.09373818763987782,8997.656394560052,8044584.024517455,424827.79959997535,1247060.72200731,0.0,3900515.9748500725,568583.5929085347,15833881.590954712,0.0,1596054.5846345243,0.0,0.0,0.0,67836.2538445008,10393.673766619153,276433.15158655506,581038.7532516399,5067945.161290322,172247545.16129032,61270003.22580645,0.0,16470922.58064516,123103.2258064516,123930467.74193548,0.0,0.0,0.0,232222487.0967742
