geom_id,month,ADM3_EN,no2_mean,no2_lag1,no2_neighbor_lag1,NTL_mean,LST_day_mean,temp_mean,pop_sum_m,road_len,poi_count,lu_industrial_area,lu_commercial_area,lu_residential_area,lu_retail_area,lu_farmland_area,lu_farmyard_area,road_primary_len,road_motorway_len,road_trunk_len,road_secondary_len,road_tertiary_len,road_residential_len,non_built_area
0,2023-01,Akaki Kality,4.987196211160448e-05,4.99201305284981e-05,5.066503379011956e-05,3.6414655229096775,27.23593285266424,,969.6839599609375,5860.594009632187,0.0,0.0,0.0,36966.94059896046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1351.2589830336472,3079.516096823076,234767.74193548388
0,2023-02,Akaki Kality,4.87737568349676e-05,4.885316263926286e-05,4.867742009688379e-05,3.0423169377304258,26.167037797622562,,969.6839599609375,5860.594009632187,0.0,0.0,0.0,36966.94059896046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1351.2589830336474,3079.516096823076,288657.14285714284
0,2023-03,Akaki Kality,5.364659753633847e-05,5.338028785355272e-05,5.318088145883858e-05,3.092626200781928,25.718172763265937,,969.6839599609375,5860.594009632187,0.0,0.0,0.0,36966.94059896046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1351.2589830336472,3079.516096823076,224800.0
0,2023-04,Akaki Kality,5.1522193905118124e-05,5.112411350948618e-05,5.038254920229168e-05,5.34081447176766,25.365760801930584,,969.6839599609375,5860.594009632187,0.0,0.0,0.0,36966.94059896046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1351.2589830336474,3079.516096823076,204150.0
0,2023-05,Akaki Kality,4.909685726486977e-05,4.936449424164496e-05,4.915991371627696e-05,4.162165478666624,24.527904221085485,,969.6839599609375,5860.594009632187,0.0,0.0,0.0,36966.94059896046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1351.2589830336472,3079.516096823076,246635.48387096773
0,2023-06,Akaki Kality,5.371152429216135e-05,5.364460603353619e-05,5.48883505285762e-05,4.499914766886295,25.040458129084996,,969.6839599609375,5860.594009632187,0.0,0.0,0.0,36966.94059896046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1351.2589830336474,3079.516096823076,295393.3333333333
0,2023-07,Akaki Kality,5.5241441098195826e-05,5.5613582925831734e-05,5.6347241741645915e-05,4.2043626457170555,24.661741166819613,,969.6839599609375,5860.594009632187,0.0,0.0,0.0,36966.94059896046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1351.2589830336472,3079.516096823076,280074.1935483871
0,2023-08,Akaki Kality,4.938815371388786e-05,4.897733665179478e-05,5.102458145156442e-05,6.888809266297714,24.519479273538575,,969.6839599609375,5860.594009632187,0.0,0.0,0.0,36966.94059896046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1351.2589830336472,3079.516096823076,246606.4516129032
0,2023-09,Akaki Kality,4.4442932291202035e-05,4.501814118346039e-05,4.5555491207713244e-05,4.892641163534589,24.481232903706562,,969.6839599609375,5860.594009632187,0.0,0.0,0.0,36966.94059896046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1351.2589830336474,3079.516096823076,272300.0
0,2023-10,Akaki Kality,4.6575550187038974e-05,4.645077037744357e-05,4.609040926620563e-05,5.677501877148946,24.15423654510216,,969.6839599609375,5860.594009632187,0.0,0.0,0.0,36966.94059896046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1351.2589830336472,3079.516096823076,229061.29032258064
0,2023-11,Akaki Kality,4.483159389769748e-05,4.482346410550146e-05,4.5032607883395156e-05,5.88833338537334,23.99444193509414,,969.6839599609375,5860.594009632187,0.0,0.0,0.0,36966.94059896046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1351.2589830336474,3079.516096823076,223826.66666666666
0,2023-12,Akaki Kality,5.330988361144064e-05,5.3009148674214745e-05,5.448188383345428e-05,6.4312569454152095,23.919731366264735,,969.6839599609375,5860.594009632187,0.0,0.0,0.0,36966.94059896046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1351.2589830336472,3079.516096823076,216377.4193548387
0,2024-01,Akaki Kality,4.717042682173854e-05,4.736621350351116e-05,4.959430908118819e-05,6.037107366985746,23.988724206270145,,1009.0590209960938,5860.594009632187,0.0,0.0,0.0,36966.94059896046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1351.2589830336472,3079.516096823076,247129.03225806452
0,2024-02,Akaki Kality,4.9334913648694555e-05,4.9238218877643933e-05,5.089606891560943e-05,5.222862432032456,23.589113989156132,,1009.0590209960938,5860.594009632187,0.0,0.0,0.0,36966.94059896046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1351.2589830336476,3079.516096823076,314227.5862068966
0,2024-03,Akaki Kality,4.948276495584902e-05,5.026235728387019e-05,5.098324064261327e-05,6.92699228922526,23.534905270373415,,1009.0590209960938,5860.594009632187,0.0,0.0,0.0,36966.94059896046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1351.2589830336472,3079.516096823076,367641.93548387097
0,2024-04,Akaki Kality,5.042159553420466e-05,4.9333956545972764e-05,5.091859248275745e-05,6.469478940963745,23.903677880525585,,1009.0590209960938,5860.594009632187,0.0,0.0,0.0,36966.94059896046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1351.2589830336474,3079.516096823076,374936.6666666667
