date,ADM3_EN,LST_day_mean,temp_mean,no2_mean,no2_lag1,no2_neighbor_lag1,NTL_mean,pop_sum_m,road_len,poi_count,lu_industrial_area,lu_commercial_area,lu_residential_area,lu_retail_area,lu_farmland_area,lu_farmyard_area,road_primary_len,road_motorway_len,road_trunk_len,road_secondary_len,road_tertiary_len,road_residential_len,non_built_area
2023-01-01,Addis Ketema,24.21730158730162,22.336153850862956,0.0007754993098549398,0.0,0.0,626.3442107836405,280921.71484375,413244.76971781626,6,215850.9702058304,265450.8900814801,10882491.456047973,82401.44393116132,0.0,0.0,21095.167212089207,0.0,6407.418335811565,36722.49625661942,9150.718490781326,306043.3825076155,5810100
2023-01-01,Akaki Kality,31.424855735216063,25.87644803994493,0.005503139034156935,0.0,0.0,2572.197031809224,577954.2465810776,1458805.890458251,2,5526607.582092061,365328.0545006475,27209144.290578924,40003.522123153525,1773640.419496487,258835.68637580072,54297.55343784546,1750.3353404954569,55487.577655745874,26543.91274598913,83102.65505169929,830728.46839836,42526100
2023-01-01,Arada,22.58986257017839,18.942117813730743,0.0003208096899420461,0.0,0.0,314.0748583475749,129547.9833984375,154371.31172405052,6,0.0,76650.35488586953,4659425.09783472,1932.0280105111356,0.0,0.0,25369.9562524495,0.0,0.0,19406.190678522504,8199.53802469422,79045.1466208676,2851700
2023-01-01,Bole,29.826732415922432,25.943955942178736,0.0033581857332717745,0.0,0.0,2946.2541134092544,591126.6415710449,1126020.3433838214,24,896769.3893058358,580416.1541855597,18416451.08505943,10436.188026384647,4883618.38494601,648225.8212969821,101191.315213993,0.0,30499.410243706596,39549.62310854257,27027.424214939256,705045.2746982997,23547400
2023-01-01,Gulele,28.53267523409166,24.62874287921163,0.0012703157311415548,0.0,0.0,435.64147554503546,191815.6131362915,343757.35125622124,2,247.700025933823,22002.799475087588,7845656.90704623,16931.554441194912,0.0,7270.071742202093,13710.881867102697,0.0,13293.462951652262,20308.566843555647,8066.165702901882,192535.3826680482,8910500
2023-01-01,Kirkos,32.330267565359506,27.75820942385142,0.0007875494115254681,0.0,0.0,1377.4828433990479,246195.3955078125,407445.71887208143,27,406792.8336762707,390906.811451437,8308279.97318338,0.0,65818.11835366307,0.0,82489.43161484491,0.0,0.0,21759.51109966339,28967.210286565973,173520.87515752186,3975500
2023-01-01,Kolfe Keraniyo,30.55509415119873,25.537969914244275,0.0024052838102150338,0.0,0.0,1706.86844168769,588912.7861328125,999778.8262524343,10,291846.42793674866,0.0,33497229.618138816,0.0,72822.25008760257,3254.004578879517,59088.208265167086,0.0,28389.786506119886,1999.0475906724823,21921.792401634888,802951.0311531086,19760400
2023-01-01,Lemi Kura,29.594836953670743,25.183410804905595,0.003665640945586494,0.0,0.0,1833.5148711336983,477004.73025512695,1077463.223131778,4,1712173.9962421947,0.0,33145748.589403372,0.0,1762514.6735988294,50492.57284487099,59290.56198237499,0.0,20492.203628489955,28991.1462658884,30113.67819436336,823739.0228125532,29091500
2023-01-01,Lideta,29.292631760000024,26.15552602345528,0.0004531059021680599,0.0,0.0,715.0050116644966,149520.572265625,238256.11138927197,21,127401.41171582477,490441.68090575916,5697785.465824234,641539.5422013433,3.270979477047901,0.0,45984.5164421835,0.0,0.0,13274.699443375684,8543.116371212236,143381.56823950287,2183900
2023-01-01,Nifas Silk Lafto,25.826079779030405,24.28460816475123,0.0024495613039462933,0.0,0.0,1897.1957329114277,546690.8269042969,1020947.5290218766,8,814229.8479719026,0.0,29793604.541209195,10718.522802027,630510.8660664688,0.0,63965.89918432797,0.0,29480.131225656678,6031.665235660577,48983.06371372432,730069.9503519727,14789800
2023-01-01,Yeka,26.520023930940205,24.930075727513263,0.0021571240601620835,0.0,0.0,889.2979641755422,411173.4640197754,629507.8244182687,8,6820.175402169005,22872.035526742053,19262047.908034045,0.0,39209.08000849748,120688.57037222979,32713.710225186594,0.0,0.0,51329.66061620474,19115.57412660214,406901.78687040746,15180000
2023-01-02,Addis Ketema,24.431651391996272,22.26098354380118,0.0010987266651905326,0.0007754993098549398,0.0007784267647991371,318.12176990509033,280921.71484375,413244.76971781626,6,215850.9702058304,265450.8900814801,10882491.456047973,82401.44393116132,0.0,0.0,21095.167212089207,0.0,6407.418335811565,36722.49625661942,9150.718490781326,306043.3825076155,6042400
2023-01-02,Akaki Kality,31.2662775521926,26.005654100721102,0.005679214397900045,0.005503139034156935,0.005489299050502073,1302.8114207221402,577954.2465810776,1458805.890458251,2,5526607.582092061,365328.0545006475,27209144.290578924,40003.522123153525,1773640.419496487,258835.68637580072,54297.55343784546,1750.3353404954569,55487.577655745874,26543.91274598913,83102.65505169929,830728.46839836,44350000
2023-01-02,Arada,22.356773934398955,19.27719258568322,0.0004172368129668385,0.0003208096899420461,0.0003206866564916036,238.78016503651935,129547.9833984375,154371.31172405052,6,0.0,76650.35488586953,4659425.09783472,1932.0280105111356,0.0,0.0,25369.9562524495,0.0,0.0,19406.190678522504,8199.53802469422,79045.1466208676,2924500
2023-01-02,Bole,29.83055311179221,26.026267222044044,0.003297810303062379,0.0033581857332717745,0.0033498021472132115,1972.4697098467086,591126.6415710449,1126020.3433838214,24,896769.3893058358,580416.1541855597,18416451.08505943,10436.188026384647,4883618.38494601,648225.8212969821,101191.315213993,0.0,30499.410243706596,39549.62310854257,27027.424214939256,705045.2746982997,25474500
